#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,firefox,"is the internet browser"
,filezilla,"is ftp manager from the mozilla foundation"
,transmission-gtk,"is a torrent file client"
,imagemagick,"is a powerful tool to manipulate images"
,openssh,"is the ssh open implementation"
,sshfs,"can mount ssh filesystems"
,calibre,"is the ebook manager"
,rsync,"is the tool to copy files"
,tmux,"is the terminal multiplexer"
,go,"the golang google language"
,virtualbox,"the virtualisation software from oracle"
,vagrant,"the virtual machines manager"
,blueman,"the bluetooth service"
,bluez-utils,"the bluetooth tools"
,detox,"is the tool to cleanup the file names"
,awesome-terminal-fonts,"some awesome terminal fonts"
,lightdm,"the light desktop manager"
A,i3-gaps-rounded-git,"the i3wm with rounded corners"
A,chezmoi,"the dotfiles manager"
A,lightdm-webkit-theme-aether-git,"a beatiful lightdm theme",
A,nerd-fonts-ubuntu-mono,"fonts"
A,nerd-fonts-iosevka,"fonts"
A,nerd-fonts-jetbrains-mono,"fonts"
A,ttf-material-icons-git,"fonts"
A,rofi-greenclip-git,"is the greenclip plugin for rofi"
A,bashtop,"a nice looking system monitor"
A,starship,"the shell manager"
A,bitwarden,"the password manager"
A,bitwarden-cli,"the password manager cli version"
A,zoom,"The shitty meeting software"
A,exa,"a ls replacement"
A,hugo,"is still blogging cool?"
A,udiskie,"device mounter manager"
A,xdotool,"a tool I dont remember"
A,xbindkeys,"bind keys with the mouse"
A,zscroll-git,"scroll text..."
A,mimeo,"MIME manager"
A,jq,"JSON query for console"
A,nvm,"Node virtual manager"
A,pycharm-professional,"The pythone IDE"
A,brother-mfc-j880dw,"my printer drivers"
A,graphviz,"tools to do graph with python"
A,nerd-fonts-hack,"fonts.."
A,pa-applet-git,"An applet"
A,polybar,"The bar I currently use"
A,powerline-fonts-git,"fonts..."
A,spotify,"Music for my ears"
A,slack-desktop,"The best distracting software"
A,termsyn-font,"Fonts..."
A,ttf-font-icons,"Fonts..."
A,ttf-material-design-icons-webfont,"Fonts..."
A,ttf-ms-fonts,"Fonts..."
A,ttf-symbola,"Fonts..."
,kitty,"My favourite terminal emulator"
,rofi,"Beautiful menus on i3"
A,telegram-desktop,"The official telegram client"
,bluez
,cheese,""
,cmatrix,""
,cmus,""
,copyq,""
,dart,""
,feh,""
,gnome-calculator,""
,gnome-characters,""
,gnome-keyring,""
,google-chrome,""
A,gtk-theme-arc-gruvbox-git,""
,gzip,""
,hugo,""
,imagemagick,""
,ipython,""
,isync,""
A,jdownloader2,""
,lightdm-gtk-greeter,""
A,lightdm-webkit-theme-aether-git,""
,ncftp,""
,neofetch,""
,neomutt,""
A,nerd-fonts-hack,""
A,nerd-fonts-jetbrains-mono,""
A,nerd-fonts-terminus,""
A,nerd-fonts-ubuntu-mono,""
,network-manager-applet,""
,networkmanager,""
,newsboat,""
,nvm,""
A,otf-font-awesome,""
,pandoc-bin,""
A,patat-bin,"The cli powerpoint"
,pavucontrol,""
,pcloud-drive,""
,playerctl,""
,polybar,""
,postgresql,""
,powerline-fonts-git,""
,pulseaudio,""
,pulseaudio-alsa,""
,pulseaudio-bluetooth,""
,pulseaudio-jack,""
,pulsemixer,""
,python-pip,""
,python-virtualenv,""
,python-virtualenvwrapper,""
,ranger,""
A,rofi-blezz,""
A,rofi-emoji,""
,serverless,""
,shotwell,""
,shutter,""
A,signal-desktop,""
,snapd,""
A,solaar,""
A,speedtest-cli,""
A,sqlitestudio,""
A,task,""
,thunar,""
A,tig,""
A,ttf-fira-mono,""
